Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_match_clusterRoles,ClusterPolicy,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_clusterRoles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources,ClusterPolicy,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_annotations,ClusterPolicy,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_kinds,ClusterPolicy,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_kinds_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_names,ClusterPolicy,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_names_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector,ClusterPolicy,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaces,ClusterPolicy,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaces_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations,ClusterPolicy,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_CREATE,ClusterPolicy,CREATE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_CONNECT,ClusterPolicy,CONNECT,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_UPDATE,ClusterPolicy,UPDATE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_DELETE,ClusterPolicy,DELETE,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector,ClusterPolicy,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions,ClusterPolicy,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_operator,ClusterPolicy,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values,ClusterPolicy,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchLabels,ClusterPolicy,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_roles,ClusterPolicy,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_roles_StringValue,ClusterPolicy,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects,ClusterPolicy,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_kind,ClusterPolicy,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_apiGroup,ClusterPolicy,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_namespace,ClusterPolicy,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions,ClusterPolicy,celPreconditions,-
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions_expression,ClusterPolicy,expression,
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context,ClusterPolicy,context,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall,ClusterPolicy,apiCall,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data,ClusterPolicy,data,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data_value,ClusterPolicy,value,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_default,ClusterPolicy,default,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_jmesPath,ClusterPolicy,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method,ClusterPolicy,method,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method_GET,ClusterPolicy,GET,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method_POST,ClusterPolicy,POST,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service,ClusterPolicy,service,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_url,ClusterPolicy,url,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_caBundle,ClusterPolicy,caBundle,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers,ClusterPolicy,headers,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers_key,ClusterPolicy,key,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers_value,ClusterPolicy,value,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_urlPath,ClusterPolicy,urlPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap,ClusterPolicy,configMap,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap_name,ClusterPolicy,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap_namespace,ClusterPolicy,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference,ClusterPolicy,globalReference,
